timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-23T11:17:35,matrix-game-3,1st_data,mem_test,data-60,0.04,24.00,0.03,1009,31179,2
2026-05-23T11:36:56,matrix-game-3,1st_data,mem_test,data-61,0.05,24.00,0.03,1065,31123,6
2026-05-23T11:53:30,matrix-game-3,1st_data,mem_test,data-62,0.05,24.00,0.03,946,31242,5
2026-05-23T12:07:41,matrix-game-3,1st_data,mem_test,data-63,0.06,24.00,0.03,946,31242,4
2026-05-23T12:21:57,matrix-game-3,1st_data,mem_test,data-64,0.06,24.00,0.03,945,31243,4
2026-05-23T12:38:18,matrix-game-3,1st_data,mem_test,data-65,0.05,24.00,0.03,944,31244,2
2026-05-23T12:54:26,matrix-game-3,1st_data,mem_test,data-66,0.04,24.00,0.03,895,31293,2
2026-05-23T13:07:12,matrix-game-3,1st_data,mem_test,data-67,0.05,24.00,0.03,855,31333,5
2026-05-23T13:21:09,matrix-game-3,1st_data,mem_test,data-68,0.07,24.00,0.03,880,31308,2
2026-05-23T13:36:09,matrix-game-3,1st_data,mem_test,data-69,0.04,24.00,0.03,894,31294,4
2026-05-23T13:51:14,matrix-game-3,1st_data,mem_test,data-70,0.04,24.00,0.03,898,31290,4
2026-05-23T14:05:46,matrix-game-3,1st_data,mem_test,data-71,0.06,24.00,0.03,893,31295,4
2026-05-23T14:20:16,matrix-game-3,1st_data,mem_test,data-72,0.09,24.00,0.03,900,31288,4
2026-05-23T14:37:20,matrix-game-3,1st_data,mem_test,data-73,0.05,24.00,0.03,561,31627,2
2026-05-23T14:56:58,matrix-game-3,1st_data,mem_test,data-74,0.06,24.00,0.03,901,31287,28
2026-05-23T15:17:41,matrix-game-3,1st_data,mirror_test,data-25,0.05,24.00,0.03,622,31566,2
2026-05-23T15:36:06,matrix-game-3,1st_data,mirror_test,data-26,0.06,24.00,0.03,529,31659,3
2026-05-23T15:50:41,matrix-game-3,1st_data,mirror_test,data-27,0.05,24.00,0.03,532,31656,4
2026-05-23T16:04:35,matrix-game-3,1st_data,mirror_test,data-28,0.05,24.00,0.03,523,31665,4
2026-05-23T16:18:19,matrix-game-3,1st_data,mirror_test,data-29,0.06,24.00,0.03,523,31665,3
2026-05-23T16:32:42,matrix-game-3,1st_data,mirror_test,data-30,0.05,24.00,0.03,544,31644,4
2026-05-23T16:46:28,matrix-game-3,1st_data,mirror_test,data-31,0.04,24.00,0.03,546,31642,5
2026-05-23T17:00:23,matrix-game-3,1st_data,mirror_test,data-32,0.06,24.00,0.03,604,31584,4
2026-05-23T17:13:27,matrix-game-3,1st_data,mirror_test,data-36,0.05,24.00,0.03,610,31578,5
2026-05-23T17:25:42,matrix-game-3,1st_data,mirror_test,data-37,0.04,24.00,0.03,646,31542,2
2026-05-23T17:38:13,matrix-game-3,1st_data,mirror_test,data-38,0.07,24.00,0.03,641,31547,5
2026-05-23T17:50:34,matrix-game-3,1st_data,mirror_test,data-39,0.07,24.00,0.03,629,31559,5
2026-05-23T18:01:24,matrix-game-3,1st_data,mirror_test,data-40,0.06,24.00,0.03,521,31667,2
